שם פרטי,"סך הכל בשנים
1948-2021",1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
'ג'ורג',470,2,2,6,2,8,2,6,2,7,8,6,2,5,11,8,5,7,6,9,2,7,6,10,2,8,10,6,7,9,2,2,0,2,2,2,2,2,5,2,2,2,7,2,5,5,2,2,9,7,8,9,12,6,6,9,10,10,8,12,9,7,2,5,6,8,9,2,2,2,2,2,2,2,2
אבראהים,757,8,6,5,10,10,8,8,18,9,9,12,11,13,10,15,11,9,14,16,13,8,8,11,9,12,9,16,6,9,14,8,8,14,10,10,7,11,13,7,9,8,9,7,9,15,14,8,7,8,8,10,10,10,8,8,7,10,8,2,11,8,2,9,2,8,6,14,10,7,7,7,2,7,6
אדהם,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,2,0,2,2,2,2,2,2,0,2,5,2,2,2,2,7,2,9,2,6,2,7,2,5,5,2,2,5,2,5,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,2,0,2,0,0,0,2
אדואר,179,2,2,5,8,5,2,0,8,7,2,2,2,2,2,2,7,2,6,2,5,2,2,2,2,2,2,2,0,0,0,2,2,2,0,2,0,0,2,2,0,0,2,2,2,2,2,2,2,2,2,0,2,2,2,0,2,2,0,2,2,0,2,2,2,0,2,2,2,2,0,2,2,2,0
אדוארד,185,2,0,2,2,2,2,0,2,2,2,2,5,5,2,2,6,2,2,2,0,2,2,2,2,5,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,5,2,2,0,2,2,2,2,6,5,2,2,2,2,2,5,2,2,2,2,2,0,2,2,2,5,2,2
אדיב,155,5,2,2,2,0,0,2,0,2,2,2,0,2,5,0,0,0,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,0,2,2,5,2,2,2,2,2,0,2,6,2,2,0,0,2,5,2,2,2,0,2,2,2,2,2,2,2,2,2,0,0,0,2,0,2,2
אדם,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,2,2,2,2,2,2,5,2,2,2,0,2,2,2,6,2,2,6,0,2,2,2,5,6,2,13,2,5,7,8,15,12,17,10,7,18,18,14,13,20,14,16,18
אדריאן,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,2,2,2,2,2,2,2,2,2,6,2,6,5,5,8,6,6,9,2,9,7,5
אוסאמה,269,0,2,0,2,2,0,2,2,2,2,5,2,2,5,6,6,8,7,13,12,10,13,10,8,13,8,6,2,8,2,2,2,2,5,2,2,2,5,6,6,2,6,6,2,0,6,5,2,2,2,2,7,5,2,0,0,0,0,2,0,2,0,0,2,0,0,2,2,0,2,0,0,2,0
איאד,168,0,0,2,0,0,0,0,0,0,0,2,0,2,0,2,0,2,6,2,5,2,2,6,7,5,9,5,8,2,13,5,2,9,2,2,5,2,2,2,2,2,2,2,2,2,5,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,0,2,0,0,0,2,2,2,2
איהאב,388,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,2,7,6,15,16,19,25,24,10,14,13,12,15,13,17,7,9,7,14,10,6,12,10,11,9,10,2,8,8,7,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,0,0,0,2,0,0,2,0,2,2
איוואן,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,2,0,2,2,2,2,2,2,2,5
