שם פרטי,"סך הכל בשנים
1948-2021",1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
אבתיסאם,89,2,2,0,2,2,0,2,2,2,2,2,2,2,7,6,5,2,10,7,2,2,2,0,2,0,0,2,2,2,0,2,2,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
אדל,33,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,2,2,2,0,0,5,2,5,0,6,2
אווה,64,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,2,2,2,2,2,2,0,0,2,2,0,2,0,0,2,2,0,0,2,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,2,0,2,2,2,2,2,5,2,2,2,0,2,2,0
אומימה,82,0,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,7,10,6,2,2,5,9,2,0,2,2,2,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
אח'לאס,57,0,2,2,2,2,0,2,0,2,2,2,2,2,2,2,2,5,2,8,5,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
אחלאם,131,0,0,0,0,0,0,0,0,2,2,0,2,2,2,0,2,0,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,5,7,6,11,7,2,11,2,6,5,2,5,5,2,2,2,2,2,2,2,2,2,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0
אחלאס,37,0,0,0,2,2,0,0,2,2,2,2,0,5,2,2,0,2,0,0,2,0,0,2,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
איבון,85,2,2,2,2,2,2,2,2,0,2,2,0,2,0,2,2,0,2,2,0,0,0,2,0,0,0,2,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,2,2,0,2,2,0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,2
איבתסאם,88,0,0,2,2,2,2,2,2,6,5,2,2,8,2,9,5,2,2,0,2,2,2,2,2,2,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
איח'לאס,79,2,2,2,2,2,2,2,2,5,2,5,7,2,2,2,2,2,0,2,2,2,2,0,2,6,2,2,2,0,0,0,0,0,2,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
איחלאס,42,0,2,0,0,2,2,0,2,2,2,2,5,2,2,2,0,2,2,0,2,0,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
איילא,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,6
איילה,41,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,10,18
אילא,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,2,2,6,6
אילהאם,113,0,0,0,0,0,2,0,2,2,2,2,10,10,8,6,11,6,8,2,2,5,7,2,2,0,2,2,2,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
אילין,186,5,2,6,5,2,5,2,2,2,5,2,2,2,2,2,0,2,2,2,0,2,2,0,0,0,2,2,2,0,0,0,2,0,2,0,0,0,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,0,2,0,2,2,2,2,11,2,2,2,0,0,2,0
אימאן,300,0,0,0,0,0,0,0,2,0,0,2,2,2,5,7,11,9,10,14,10,10,14,8,11,16,11,6,8,5,9,7,17,5,7,7,9,9,2,8,2,14,2,8,2,2,5,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,0,0,2
אינס,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,8,2,10,8,7,2,7,7,14,7,9,10,11,6,5,2,5,2,9,2,2,5,2,5,2,2,2,0,2,2,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
אינעאם,71,2,0,2,0,2,2,2,0,2,2,2,2,2,2,7,2,2,2,0,2,5,2,2,0,2,2,0,2,0,0,2,2,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
אלאא,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,2,0,0,2,0,0,0,2,0,2,2,2,0,0,0,0,0,0,2,0,2,2,2,2,2,0,2,2,2,2,2,7,2
אלהאם,128,2,0,2,2,2,2,2,2,0,2,2,7,6,12,10,2,2,2,2,6,6,2,6,2,2,2,2,2,0,2,2,2,2,0,2,0,2,2,2,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,2,0,2,0,0,0,0,0,2,2,2,2,2,0,2,2
אליאנה,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,2,0,0,2,0,0,2,2,5,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,0,2,5,2,2,2,5,2,2,2
אלין,332,2,2,0,0,0,2,2,2,0,0,2,2,2,2,0,2,0,0,2,0,2,2,0,5,0,2,8,2,6,2,2,2,2,2,2,2,2,2,6,2,2,2,6,6,2,2,2,7,2,7,2,2,7,8,6,9,2,7,11,9,2,5,10,8,15,11,22,9,8,13,7,6,8,5
אלינור,68,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,2,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,2,0,0,2,2,2,0,2,2,0,2,5,2,2,0,2,2,0,2,6,2,2,5,2,2,2,2,0,2,2,2
אליס,219,2,2,2,6,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,6,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,5,0,2,0,2,2,2,0,2,2,0,2,0,0
אליסה,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,2,5,7,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2,2
אלמא,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,6,2,2,7,2,6,2
אלמה,60,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,2,2,2,8,9,7,9,6
