שם פרטי,"סך הכל בשנים
1948-2021",1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
אדהם,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,2,2,2,2,2,2,2,2,17,11,12,6,7,23,18,18,26,15,16,19,14,14,23,18,10,10,17,21,14,13,23,8,10,8,11,7,9,9,8,2,7,2,2,2,2,2,2,6,2,2,2
אדיב,153,0,0,2,2,2,2,2,2,2,2,2,2,5,7,2,2,6,5,6,2,2,2,2,2,2,2,2,2,2,2,0,5,2,2,2,2,0,2,2,2,2,2,2,2,0,5,2,2,2,0,2,2,0,2,0,2,0,0,2,2,2,0,0,2,0,2,2,2,2,2,2,2,2,0
אדיר,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,2,2,2,2,2,2,2,0,2,0,2,6,5,9,2,8,11,8,6,12,2,9,2,8,7,13,7,5,13,2,2
אדם,"1,233",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,2,2,0,2,2,7,2,2,6,2,11,7,14,7,14,15,17,17,13,23,19,18,18,27,39,28,48,44,53,46,64,41,49,43,55,35,43,38,37,42,45,38,43,48,47,47
אווס,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,2,2,2,2,2,10,8,7,7,2,5,2,9,2,5,7
אוניל,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,2,6,8,2,2
אוסאמה,245,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,2,9,2,2,16,2,6,13,2,6,8,2,8,2,2,6,7,7,7,2,7,6,2,2,8,6,2,7,7,6,8,5,7,8,2,5,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2,0,0,0
אוריאן,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,0,2,2,0,6,2,2,2,2,5,2,2,2
אחמד,272,2,2,0,2,0,5,2,0,2,6,2,2,2,0,2,2,2,2,2,2,2,6,2,2,2,0,2,5,2,2,2,9,2,2,6,2,8,5,2,5,5,7,8,2,6,5,2,2,2,2,2,6,7,5,5,6,2,2,2,2,5,2,2,2,5,6,2,2,0,2,2,2,0,2
איאד,210,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,2,2,6,2,5,6,8,5,17,5,7,2,10,6,7,7,6,2,2,10,2,5,2,2,7,2,2,2,2,5,2,2,5,2,2,2,2,2,2,2,0,2,2,2,0,0,0,2,2,0,2,0,2,2,2,2,2,0
איאן,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,5,10,8,19,12,26,23,16,14,12,28,19,25,31,34,23,45
איהאב,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,2,7,2,7,12,7,6,10,13,6,11,11,17,12,12,10,8,9,13,7,11,9,12,10,12,10,2,2,5,2,5,2,2,0,0,2,2,2,2,2,2,2,0,0,2,2,0,0,2,0,0
איהאם,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,2,2,2,2,2,2,0,2,5,2,12,9,2,6,6,11,2,20,10,5,11,9,9,11,8,6,18,25,11,9,6,9,5,2,2,2,5,2,2
איואן,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,12,9,7,2,7,5,2,2,2,2,2,2,2,2,0,0
איוב,107,0,0,0,0,2,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,2,2,2,2,0,2,2,2,0,2,2,0,2,2,0,0,0,2,0,0,2,0,2,2,2,2,0,0,2
איוון,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,2,2,2,2,0,2,0,2,0,2,2,2,2,0,2,0,0
איזאר,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,2,2,2,0,0,2,2,2,2,2,2,2,2,8,2,2,2,2,2,2,2,2,2,2
איחסאן,152,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,2,2,2,0,2,2,5,8,6,2,2,6,7,9,5,7,2,7,5,2,2,2,6,5,5,2,5,2,2,2,2,2,2,0,2,0,0,2,2,0,0,0,0,2,0,0,2,2,0,0,0,2,0,2,0,2
