שם פרטי,"סך הכל בשנים
1948-2021",1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
אבטיסאם,20,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,7,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
אבראר,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,5,2,5,9,6,13,13,9,22,20,22,22,17,39,49,34,25,20,19,20,16,13,18,22,25,15,20,23,14,13,32
אברר,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,2,0,2,2,2,2,2,2,6,2,7,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2
אבתהאל,189,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,2,2,2,2,2,2,2,2,0,0,0,5,2,2,2,5,2,5,2,2,6,7,7,11,2,5,12,6,10,7,13,11,2,6,2,2,2,2,5,2,2,2,2,0,2,2,2,2,2,2,0,2,0,2
אבתיהאג',36,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2,5,2,2,0,2,2,2,2,0,0,2,0,0,0,0,2,2,2,2,0,2,0,2,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
אבתיהאל,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,2,2,2,2,5,2,2,2,2,2,2,8,6,2,2,5,5,8,2,2,2,0,2,2,0,2,2,2,2,2,2,2,0,2,0,2,2,0,0,0,2,0
אבתיסאם,"1,763",2,2,2,2,6,6,5,10,11,11,21,25,23,32,43,44,76,76,73,63,62,74,73,68,60,41,41,50,34,29,33,38,22,18,21,21,18,14,7,11,14,16,9,20,24,20,13,16,15,12,17,18,16,18,11,11,13,6,13,7,11,8,7,9,9,17,11,14,25,11,19,19,24,10
אג'ואן,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,2,2,0,0,2,0,0,2,2,2,2,2,5,2,2,0
אדיאן,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,2,6,2,7,5,8,2,15,15,15,11,17,17,10,19,9,6,22,17,32,19,28,18,17
אדיבה,148,5,2,2,2,2,2,2,2,5,2,2,5,2,2,2,10,6,2,5,6,2,2,2,5,2,2,2,5,2,0,2,2,2,0,0,0,2,2,0,0,2,2,2,0,0,2,2,0,0,2,2,2,2,2,2,0,0,0,0,0,0,2,2,0,0,2,2,0,2,2,0,0,0,2
אדיל,65,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,2,2,2,2,2,8,6,2,2,2,0,2,0,2,2,0,0,0,0,0,2,2,2,2,2,0,2,2,2,2
אדל,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,2,2,2,2,2,5
אולפת,367,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,7,2,2,2,2,5,9,10,13,10,10,12,16,12,8,2,21,14,7,5,21,22,10,13,19,7,10,12,11,14,7,2,9,2,8,2,2,2,2,2,0,2,2,0,2,2,0,2,0,2,0,2,2,2,0,0,0,0
אומאן,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
אומיה,133,0,0,2,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,0,2,2,2,2,6,2,2,2,2,5,2,2,2,2,2,2,2,0,0,2,2,2,2,0,0,2,2,2,0,2,2,2,2,2,0,0,2,2,0,2,2,0,0,0,2,0,0,2,2,2,0
אומימה,712,0,0,0,0,0,2,0,0,2,2,2,0,2,7,10,19,14,21,30,31,25,24,34,20,20,18,18,27,13,17,14,11,2,9,2,7,9,6,6,8,7,7,12,19,15,18,9,11,2,11,13,5,8,11,6,10,13,2,2,8,2,9,6,2,2,7,5,2,6,5,11,2,6,5
אומניה,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,2,0,0,0,0,5,2,2,6,2,2,0,5,2,2,5,2,12,2,6,7,19,16,5,8,14,8,12,9,2,2,7,6,8,11,6,14,7,8,8,5
אורג'ואן,189,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,2,2,2,2,0,2,2,2,2,2,2,2,8,2,2,2,6,2,7,5,8,11,6,9,9,6,2,6,6,5,10,6,9,8,2,6,5,2,2
אורגואן,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,2,2,9,2,0,2,2,2,5,0,2,2,2,2,7,0,2,2,5,2,0,2,2,0,2,2
אוריאנה,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,2,5,2,2
אזדהאר,354,2,0,2,2,2,2,2,0,2,2,2,2,8,5,7,11,6,8,15,11,12,9,14,20,12,19,17,19,7,2,9,8,6,7,6,2,5,2,2,6,2,2,2,2,2,2,2,2,2,2,6,2,2,2,2,0,2,2,0,2,0,2,2,2,2,0,2,2,2,2,2,2,2,2
אזהאר,548,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,2,2,2,2,2,0,2,5,2,6,2,6,2,5,2,2,2,5,13,10,12,22,21,21,16,14,9,89,37,25,25,27,22,20,9,14,10,2,10,2,2,2,6,2,2,2,2,2,2,2,2,5,6,6,0,2,2
אזהר,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,15,9,6,8,2,6,7,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2
אזל,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,2,2,2,2,2,2,7,2,2,10,5,6,6,2,2,2,2,6,2,10,6,2,2,8,5,14,13,7,10,10
אח'לאס,541,0,0,0,0,2,2,2,2,2,2,5,2,2,2,6,12,21,22,24,17,20,23,25,28,24,22,18,11,20,18,18,14,20,8,11,16,11,6,9,2,2,2,6,5,6,6,7,2,0,5,0,2,2,5,2,2,2,2,0,2,0,2,2,2,2,2,0,2,2,2,2,2,2,2
אחלאם,"2,772",2,0,2,2,2,2,2,2,2,2,6,6,9,10,15,19,19,26,26,22,23,41,43,50,51,31,40,47,39,50,73,58,62,50,77,154,84,87,75,89,88,68,96,80,80,76,80,64,66,58,62,58,61,66,34,36,34,21,25,16,21,23,17,17,14,13,16,14,10,12,11,10,14,9
אחלאס,700,0,0,2,0,0,2,2,2,2,2,2,2,2,2,2,12,15,15,11,15,19,29,20,42,35,25,24,21,11,6,7,16,2,7,6,2,6,5,9,5,6,12,7,8,9,22,8,17,24,25,9,13,2,2,2,16,8,8,8,5,9,8,7,8,8,6,2,7,10,7,6,2,5,8
אחלס,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,2,0,2,2,0,0,2,2,2,2,2,9,6,10,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,0,2,2,0,2,2,2,2,0
איאן,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,2,7,2,7,18,17,24,13,18,15,16,17,16,18,26,27,34,39,32,44,51,54
איאנא,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,2,2,2,2,2,5
איאנה,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,2,0,0,2,2,2,2,11
איאת,"3,060",0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,2,2,2,2,2,6,6,6,7,5,5,2,7,9,9,12,16,23,19,21,43,40,72,96,117,122,116,128,114,119,121,108,106,90,95,95,81,89,145,82,56,70,68,51,54,62,60,46,33,43,51,54,45,53,44,56,42,26
איבה,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
איבתיסם,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
איבתסאם,318,0,2,0,2,2,0,0,6,2,7,15,14,20,17,22,11,11,8,11,9,9,15,12,12,13,16,9,21,8,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,0,2,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,2,2,0,2,0,2,2
איה,"8,946",0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,2,2,0,0,2,2,2,2,0,2,2,2,2,2,10,2,10,13,12,17,23,19,29,147,103,135,139,164,153,180,242,242,332,385,457,436,439,486,403,355,344,303,313,258,320,256,272,248,203,191,203,192,206,188,165,168,156
איזדהאר,100,0,0,2,0,0,2,2,2,0,2,5,6,2,7,2,2,2,0,2,0,2,5,2,5,2,2,10,2,0,2,2,2,0,2,2,0,2,0,2,2,2,0,0,0,2,0,2,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0
איזיס,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,2,0,2,2,0,0,5,2,0,2,2,2,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0
איח'לאס,385,2,2,2,2,2,5,2,2,6,14,11,14,7,10,8,16,24,14,19,10,19,21,10,19,22,10,15,12,7,7,9,7,5,6,6,2,5,2,2,2,0,0,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0
איחלאס,124,0,0,0,0,0,0,0,0,0,0,5,9,5,2,8,2,2,2,2,5,2,2,2,6,2,2,7,5,0,0,2,0,0,0,0,0,2,2,2,2,0,2,0,2,2,2,5,2,2,2,0,2,2,0,0,2,2,2,2,2,0,0,0,2,2,2,2,2,0,2,0,0,2,0
